transaction_id,account_id,amount,currency,region,status,timestamp
e534e48f-419f-4fdc-aa28-969117163ddc,ACC-2824,1260.29,USD,US,pending,2024-04-16 19:27:32
c7399e1a-ff8f-406e-a666-4dba3d326921,ACC-5012,11168.3,EUR,EU,pending,2024-10-13 00:24:33
6bb9a985-b965-40a9-bfbb-10dbd9f5ec64,ACC-2679,33838.21,USD,US,pending,2024-12-12 11:42:58
0532573a-a48a-429c-87c3-4827dc32e996,ACC-9935,4356.07,EUR,EU,pending,2024-06-12 20:35:47
e4db489e-c881-4893-b9ea-6f4213a065ff,ACC-1520,1499.56,USD,US,pending,2024-03-25 21:51:13
07c52e7f-d018-45a0-a544-24a1b6bd4515,ACC-4811,25272.71,EUR,EU,pending,2024-01-11 07:19:59
47720c29-3d1e-4325-b1cc-83fec3833bf7,ACC-4257,35803.82,USD,US,pending,2024-09-29 08:49:21
1c98faed-729f-4353-95ba-e48e5025294b,ACC-9928,20981.8,EUR,EU,pending,2024-06-23 10:55:54
b4b19425-57f7-4671-8835-214d0214a3cf,ACC-5557,40473.43,USD,US,pending,2024-01-03 12:34:22
33a00281-1bcb-43e1-81ae-298e59d62a30,ACC-3615,34909.99,EUR,EU,pending,2024-05-12 03:21:52
2da92e68-1173-448b-8e7a-d18cc9051415,ACC-5552,7782.42,USD,US,pending,2024-10-23 12:16:51
429d3afc-4509-447f-8293-18d3ae68f641,ACC-6514,5119.49,EUR,EU,pending,2024-05-27 13:10:44
6ab9c19c-56e6-476d-a35f-5f9ecceed783,ACC-2584,17955.38,USD,US,pending,2024-05-13 13:53:58
0d3acbe2-1f8c-4dfa-863f-97937e63d087,ACC-5333,40358.34,EUR,EU,pending,2024-10-10 09:35:35
49c9bc56-5952-41da-b14c-46dde5ed092c,ACC-8527,26816.04,USD,US,pending,2024-12-24 04:24:57
1f1159c0-3137-4a3f-bc63-d8c3e52722a5,ACC-7201,3949.22,EUR,EU,pending,2024-04-23 20:37:10
0c33f346-2d56-4714-b862-8e61f82bd680,ACC-6925,28871.83,USD,US,pending,2024-09-30 15:05:07
ed3a7e1f-0df8-4deb-9eeb-70cd78da5f1d,ACC-2139,2300.76,EUR,EU,pending,2024-03-29 12:09:57
c296244c-5020-4eee-8577-c1cd883cb26f,ACC-5741,49261.22,USD,US,pending,2024-11-28 04:08:20
fe2e44a6-0132-42e9-8a3a-99dfc95a6644,ACC-4814,43325.52,EUR,EU,pending,2024-05-27 15:01:59
433def2d-c189-486b-839a-99fca87fa581,ACC-5554,22675.98,USD,US,pending,2024-11-19 22:28:21
7a8853ae-de74-4d04-aa28-7d542e1c05f2,ACC-6977,8141.08,EUR,EU,pending,2024-05-17 23:21:46
25fd56e2-e494-4142-a33d-4652b1ce2b90,ACC-4432,33512.06,USD,US,pending,2024-09-29 13:26:21
e4c01771-67a5-4722-9a9c-89c216ea46da,ACC-2169,30460.46,EUR,EU,pending,2024-03-07 11:07:40
33715a00-4d94-455a-9217-6dbbc1cdfbc4,ACC-9751,36459.05,USD,US,pending,2024-03-04 11:01:17
cb154af2-2d81-4b3a-8ac8-18fc9e93c29e,ACC-8573,18978.98,EUR,EU,pending,2024-12-25 09:16:15
576fc31f-eaf5-4d05-9a18-a051571745f3,ACC-4598,34233.87,USD,US,pending,2024-11-23 07:56:57
433331b9-7524-4adb-a71a-dea39ea980a5,ACC-1916,11460.11,EUR,EU,pending,2024-01-13 11:11:45
bb91e481-a6d8-46dc-b6f5-8e41c6f9eb1c,ACC-6168,20064.23,USD,US,pending,2024-01-26 16:55:21
6e6b10a3-d0d6-4560-99c5-d665bf66103c,ACC-4456,45657.67,EUR,EU,pending,2024-08-08 06:30:04
f81e3e16-be59-4b60-b5ac-216fd14fc45c,ACC-6155,10639.2,USD,US,pending,2024-07-12 21:10:21
fe97c047-ba0f-42c3-86b7-1660d49d7089,ACC-7482,44235.31,EUR,EU,pending,2024-09-06 15:48:49
d34335f7-ea27-4fc3-bb34-608daa71a430,ACC-8517,7152.15,USD,US,pending,2024-02-24 05:26:56
e8aa1d8e-495b-4fb3-91c4-416796c2c302,ACC-5040,37252.0,EUR,EU,pending,2024-07-28 07:37:56
c48cd9aa-2bc9-4dad-8a0e-f60ca36f4460,ACC-5304,37353.22,USD,US,pending,2024-06-15 09:17:33
b5b8da96-5280-4b9d-8da9-8e8056c515b3,ACC-7543,18106.2,EUR,EU,pending,2024-02-23 17:20:43
10ee17d3-e2c3-4269-bc9f-a4b0e4983a87,ACC-9348,24680.86,USD,US,pending,2024-10-20 12:24:01
b4b7ff05-ce7b-4b88-8c35-5e44286f8013,ACC-1771,43056.53,EUR,EU,pending,2024-02-29 08:35:03
4cf76d9e-dea4-4163-8a84-4a72dbbb8206,ACC-3621,39606.05,USD,US,pending,2024-06-12 22:48:57
b7711276-d72d-4990-836b-f8676606812a,ACC-2040,19244.52,EUR,EU,pending,2024-08-19 10:04:57
62f7e774-2f6f-455c-8994-63e86afdefbf,ACC-8668,26460.43,USD,US,pending,2024-08-02 20:26:20
5dd24578-cce6-4f14-8f8c-215dfb5a7232,ACC-1188,34017.37,EUR,EU,pending,2024-02-14 11:41:58
3207f785-ba89-4b65-ba24-3ba6f2e73164,ACC-9797,37546.38,USD,US,pending,2024-10-25 11:51:33
269e9183-bc5f-4774-a100-5ae17344df03,ACC-6573,5586.49,EUR,EU,pending,2024-06-17 20:18:21
3461512e-93ec-4b22-b6ca-db29ef41707c,ACC-3591,22691.65,USD,US,pending,2024-10-07 10:23:08
8e5b9e21-b08b-4e6d-bced-e161d8ab078d,ACC-5315,48594.69,EUR,EU,pending,2024-10-22 22:00:08
425dc891-f04b-4e79-9d91-166a1ae5bdae,ACC-3927,25389.01,USD,US,pending,2024-02-11 07:49:14
cee7c1f7-b638-4e67-86df-292db2c750e0,ACC-5889,42085.05,EUR,EU,pending,2024-07-16 03:45:39
101f69d7-7d72-445f-815a-9e3810f9bb80,ACC-4258,7650.44,USD,US,pending,2024-10-23 03:06:56
0881ce22-c16d-457d-852b-2478a5877710,ACC-3646,26973.56,EUR,EU,pending,2024-10-29 09:19:29
a1245ff8-2faf-4ffb-9f4d-e53ea03a0780,ACC-9689,45925.49,USD,US,pending,2024-08-20 14:34:05
64763f64-0378-4473-a837-7e452e3f0ae1,ACC-6310,24435.4,EUR,EU,pending,2024-02-13 10:40:57
020e732e-61ec-408c-a77a-96df7226dfed,ACC-6947,43937.31,USD,US,pending,2024-11-18 23:41:04
676d9d27-7cd6-47fd-90aa-17a1e65ed5f1,ACC-6038,11980.22,EUR,EU,pending,2024-04-03 13:05:09
b1411f2d-d995-4385-9a11-c9c48b05f85b,ACC-2290,4291.82,USD,US,pending,2024-07-07 17:45:33
8760a564-079b-485a-99a1-bde6d95490e9,ACC-2133,48899.44,EUR,EU,pending,2024-07-25 21:10:52
8cf1c690-452a-4548-a1bc-336c3228165a,ACC-3060,6428.29,USD,US,pending,2024-07-03 13:57:10
7803d0b2-1eea-4bc4-9eb8-afd8067e6190,ACC-3705,13260.18,EUR,EU,pending,2024-12-04 19:39:55
fa662670-c514-499b-afc9-43996bdf4957,ACC-7932,48218.5,USD,US,pending,2024-12-26 18:06:04
2952e0ca-2f0f-465c-9696-c88162e449b6,ACC-9835,37765.71,EUR,EU,pending,2024-09-24 22:01:56
3315aa67-07fa-4b10-b504-faa3d370292b,ACC-4295,35650.32,USD,US,pending,2024-06-03 22:52:39
ce721cd4-db34-44e5-afe6-4a098891bc3c,ACC-7118,21910.62,EUR,EU,pending,2024-07-20 00:09:23
80c9ac08-5ca1-40cb-98a5-caa64f7698a3,ACC-8397,6059.0,USD,US,pending,2024-03-28 06:19:51
3290f713-8537-4e5a-bb37-54add1fb1010,ACC-2049,16910.9,EUR,EU,pending,2024-08-16 11:26:04
3f4ea8d8-59f1-4b9e-8471-999ff188ef0b,ACC-4770,29426.12,USD,US,pending,2024-01-03 19:01:24
ad4b8463-09fb-4fda-ab9f-aa324bd5c0e2,ACC-2163,35394.97,EUR,EU,pending,2024-01-23 20:44:35
9a92d00a-813f-433d-802b-49558bb824de,ACC-4750,3379.34,USD,US,pending,2024-01-13 04:47:23
ee747af7-3259-4b85-9d52-5305c2d09315,ACC-6413,3552.16,EUR,EU,pending,2024-04-02 10:21:50
8ac6103d-a760-4c94-94e4-6809792c3ee2,ACC-5562,33452.2,USD,US,pending,2024-03-24 04:49:54
574cbf8b-f84a-4a3a-b920-16fcdc07c829,ACC-9834,6624.27,EUR,EU,pending,2024-12-29 07:37:28
32507c84-cbe8-4e3b-9e5e-3f488ab8827b,ACC-8744,12157.43,USD,US,pending,2024-07-02 16:25:38
282afff4-8ceb-4585-b5c6-4ee4149ed06e,ACC-7669,9528.59,EUR,EU,pending,2024-02-07 15:27:38
fa291290-b3f1-46f7-adad-6ec19f349e82,ACC-8062,17721.34,USD,US,pending,2024-06-08 15:45:03
215e654a-f6ac-4ddd-b649-ba8a834471c9,ACC-8651,43193.2,EUR,EU,pending,2024-01-22 00:54:43
55905721-dc31-4766-9bcc-87de6990c0ee,ACC-2612,3040.03,USD,US,pending,2024-10-09 19:26:33
